model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~temp + wind + sundur)pent(~Time)N(~1),50,0.63 [0.357-0.865],0.4 [0.081-0.795],0.12 [0.075-0.182],49 [32-119],9,94.2587131818182,12.5963268741259,0.000337928890648618,-50.932185,6 [4-15]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time)N(~1),48,0.61 [0.298-0.898],0.42 [0.081-0.809],0.12 [0.075-0.181],47 [31-121],9,94.4530151818182,12.7906288741259,0.000306643087751795,-50.737883,6 [4-15]
Phi(~1)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),79,0.74 [0.551-0.873],0.27 [0.067-0.664],0.12 [0.051-0.235],63 [37-151],9,94.9991171818182,13.3367308741259,0.000233371940191702,-50.191781,8 [5-19]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time)N(~1),45,0.66 [0.304-0.914],0.35 [0.094-0.733],0.12 [0.072-0.19],53 [34-120],9,95.0355511818182,13.3731648741259,0.000229159092783181,-50.155347,7 [4-15]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),87,0.63 [0.126-0.934],0.48 [0.009-0.926],0.12 [0.028-0.441],50 [31-141],10,95.6117064761905,13.9493201684982,0.000171801345872174,-53.873564,6 [4-18]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~1)N(~1),21,0.67 [0.306-0.922],0.24 [0.064-0.585],0.09 [0.056-0.145],65 [39-141],9,96.6612641818182,14.9988778741259,0.000101652485431712,-48.529634,8 [5-18]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time + I(Time^2))N(~1),78,0.64 [0.307-0.91],0.33 [0.076-0.723],0.12 [0.052-0.237],55 [34-134],10,97.0944164761905,15.4320301684982,8.18578202939028e-05,-52.390854,7 [4-17]
Phi(~Time)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),80,0.66 [0.365-0.883],0.33 [0.073-0.729],0.12 [0.052-0.237],55 [34-130],10,97.1884314761905,15.5260451684982,7.8098928992466e-05,-52.296839,7 [4-16]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time + I(Time^2))N(~1),69,0.63 [0.312-0.906],0.34 [0.076-0.738],0.12 [0.052-0.241],54 [33-132],10,97.1928234761905,15.5304371684982,7.79276119193918e-05,-52.292447,7 [4-16]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time + I(Time^2))N(~1),75,0.66 [0.316-0.911],0.31 [0.084-0.682],0.12 [0.053-0.233],58 [35-134],10,97.6257254761905,15.9633391684982,6.2760716447277e-05,-51.859545,7 [4-17]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time)N(~1),51,0.6 [0.298-0.898],0.43 [0.07-0.833],0.12 [0.076-0.181],47 [30-127],10,98.4327164761905,16.7703301684982,4.19229681858754e-05,-51.052553,6 [4-16]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),81,0.63 [0.305-0.912],0.33 [0.072-0.737],0.12 [0.051-0.238],55 [34-134],11,101.722346,20.0599596923077,8.09315855190945e-06,-52.486733,7 [4-17]
