model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~sundur)pent(~Time + I(Time^2))N(~1),0.82 [0.691-0.9],0.09 [0.046-0.177],0.09 [0.05-0.263],514 [337-832],8,212.705364033613,11.2501403047999,0.00173956493956686,-343.41069,4 [2-6]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~1)N(~1),0.89 [0.713-0.944],0.05 [0.025-0.085],0 [0-0],423 [285-671],9,213.153773728814,11.69855,0.00139017578007226,-345.27762,3 [3-3]
Phi(~Time)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.81 [0.688-0.894],0.1 [0.048-0.184],0.09 [0.051-0.229],520 [340-842],9,213.242753728814,11.78753,0.00132968251023886,-345.18865,4 [3-7]
Phi(~1)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.732-0.876],0.1 [0.05-0.188],0.09 [0.053-0.201],517 [337-842],8,213.290214033613,11.8349903047999,0.00129850038320064,-342.82584,4 [2-6]
Phi(~1)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.727-0.87],0.1 [0.051-0.196],0.09 [0.053-0.187],522 [340-850],9,213.799013728814,12.34379,0.00100683344177155,-344.63239,3 [3-3]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.84 [0.588-0.925],0.09 [0.041-0.193],0.09 [0.047-0.215],501 [328-810],10,214.362221880342,12.9069981515283,0.000759728705305097,-346.4241,5 [3-8]
Phi(~Time)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.82 [0.685-0.902],0.09 [0.043-0.182],0.09 [0.046-0.286],511 [334-827],9,214.821223728814,13.366,0.000603931317434921,-343.61017,4 [2-6]
Phi(~Time)p(~sundur)pent(~Time)N(~1),0.83 [0.7-0.908],0.08 [0.039-0.149],0.09 [0.057-0.151],504 [332-810],7,215.123503333333,13.6682796045198,0.000519216360749848,-338.71581,3 [3-3]
Phi(~Time)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.682-0.895],0.09 [0.044-0.189],0.09 [0.047-0.251],515 [337-835],10,215.252931880342,13.7977081515283,0.000486679795560143,-345.53338,5 [3-8]
Phi(~Time + I(Time^2))p(~Time)pent(~Time + I(Time^2))N(~1),0.78 [0.672-0.85],0.14 [0.07-0.247],0.02 [0.011-0.048],703 [396-1340],9,215.506513728814,14.05129,0.000428724910341061,-342.92488,4 [2-6]
Phi(~Time)p(~temp + sundur)pent(~Time)N(~1),0.83 [0.702-0.912],0.07 [0.035-0.147],0.09 [0.052-0.161],504 [332-811],8,215.700824033613,14.2456003047999,0.000389031503504882,-340.41523,3 [2-5]
Phi(~Time)p(~sundur + wind)pent(~Time)N(~1),0.82 [0.689-0.904],0.08 [0.039-0.159],0.09 [0.058-0.149],502 [331-809],8,216.432444033613,14.9772203047999,0.000269845703252688,-339.68361,6 [4-10]
